abessive case,n,caso abesivo{m}, (case used to express the lack of something)
abet,v,incitar, /??b?t/ (to assist or encourage in crime)
abet,v,ayudar," (to support, uphold, or aid)"
abettor,n,cómplice{m} {f}, /??b?t.?/ (accomplice)
abeyance,n,"expectativa{f},esperanza{f},suspenso{m}", /??be?.?nts/ (expectancy; condition of being undetermined)
abeyance,n,"suspensión{f},desuso{m},suspenso{m}", (suspension; temporary suppression)
abhor,v,"aborrecer,detestar,abominar", /æb?h??/ (to regard with horror or detestation)
abhorrence,n,aborrecimiento{m},
abhorrence,n,"aborrecimiento{m},odio{m},repugnancia{f}", /?b?h??.n?s/ (extreme aversion)
abhorrent,adj,repugnante, /æb?h??.?nt/
abide,v,"habitar,morar", /??ba?d/ (to dwell)
abide,v,"aguardar,esperar", (to await)
abide,v,"quedar,permanecer", (to endure)
abide,v,"tolerar,soportar", (to tolerate)
abide by,v,someterse, (to accept a decision or law and act in accordance with it; to conform to; to acquiesce)
abide by,v,"sometersea,adherirsea,observar", (to remain faithful to something or someone; to stand to; to adhere)
Abidjan,prop,Abiyán, /?æb.??d??n/ (the largest city of Côte d'Ivoire)
Abigail,prop,Abigaíl, /?æb.?.?e?l/ (biblical wife of David)
Abigail,prop,"Abigaíl,Abigail", (female given name)
abigeat,n,abigeato{m}, (theft of cattle)
ability,n,"capacidad{f},habilidad{f}", (a skill or competence)
ability,n,"habilidad{f},capacidad{f}", /??b?l.?.ti/ (quality or state of being able)
Abimelech,prop,Abimelech, /??b?m.??l?k/ (name of Philistine kings)
ab initio,adv,"ab initio,desde el principio", /?æb ??n??.i.o?/ (referring to the time from when a legal document comes into force)
abiogenesis,n,"autogénesis{f},generación espontánea{f}", /?e??bai.o??d??n.?.s?s/ (abiogenesis)
abiotic,adj,abiótico, /?e?.ba???t.?k/ (Nonliving)
a bird in the hand is worth two in the bush,proverb,más vale pájaro en mano que ciento volando(a bird in one hand is worth more than a hundred in flight), (small but certain advantage is preferable)
a bit much,n,demasiado, (More than is reasonable)
abiu,n,caimito{m}, (tree)
abjad,n,"abyad{m},abjad", (writing system)
abject,adj,abatido, /?æb.d???kt/ (Sunk to a low condition; down in spirit or hope)
abjectly,adv,abyectamente," /æb?d???kt.li/ (with great shame, desperately; in an abject fashion)"
abjure,v,abjurar, /æb?d???/
Abkhaz,adj,abjasio, /?b?k?z/ (of or pertaining to Abkhazia)
Abkhaz,n,abjasio{m} {f}, (person from Abkhazia)
Abkhaz,prop,"abjaso{m},abjasio{m}", (a Northwest Caucasian language spoken in Abkhazia)
Abkhazia,prop,Abjasia{f}," /æb?ke?.?i.?/ (territory in the Caucasus, see also: Republic of Abkhazia)"
ablation,n,ablación{f}, (amputation)
ablation,n,ablación{f}, /??ble?.?n?/ (removal)
ablative case,n,ablativo{m}," (grammatical case used to indicate movement away from something, removal, separation, source)"
ablaut,n,apofonía{f}, /??b?la?t/ (substitution of one root vowel for another)
ablaze,adj,"ardiendo,enllamas", /??ble?z/ (on fire)
ablaze,adj,"radiante,ardiente,resplandeciente", (in a state of glowing excitement)
ablaze,adv,en llamas, (on fire)
able,adj,competente, (legally qualified)
able,adj,capaz, (permitted to)
able,adj,"diestro,hábil,capaz", (skillful)
-able,suffix,"-able,-ible",
-able,suffix,"-able,-ible", /?.bl?/ (able to be done)
ablution,n,ablución{f},
ablution,n,ablución{f}, /??blu.?n?/ (the act of washing or cleansing)
ably,adv,"capaz,hábilmente", /?e?.bli/ (with great ability)
abnegate,v,abnegar, /?æb.n?.?e?t/ (to deny oneself something)
abnegate,v,rechazar," (to reject, to deny)"
abnegation,n,abnegación{f}, /?æb.n?????.?n?/ (denial; renunciation)
abnormal,adj,anormal, /?æb?n??.ml?/ (not conforming to rule or system)
abnormal,adj,anormal, (of or pertaining to behaviour that deviates from norms)
abnormality,n,anormalidad{f}, /?æb?n???mæl.?t.i/ (state of being abnormal)
abnormally,adv,anormalmente, /æb?n??.m?.li/ (In an abnormal manner)
aboard,adv,en base, (baseball)
aboard,adv,a bordo, /??b??d/ (on board)
aboard,prep,a bordode, (on board of)
abode,n,"morada{f},residencia{f},vivienda{f}", /??b??d/ (slightly dated: residence)
abolish,v,"abolir,suprimir,abrogar,quitar"," /??b?l.??/ (to end a law, system, institution, custom or practice)"
abolish,v,destrozar, (to destroy)
abolishment,n,abolición{f}, /??b?l.??.m?nt/ (The act of abolishing)
abolition,n,abolición{f}, /?æb.??l??.n?/ (act of abolishing)
abolitionist,n,abolicionista{m}, /?æ.b?.l??.n?.?st/ (person who favors the abolition)
A-bomb,n,bomba atómica{f}, (atomic bomb)
abominable,adj,"abominable,aborrecible", /??b?m.?.n?.bl?/ (hateful; detestable; loathsome)
abominable snowman,n,abominable hombre de las nieves{m}, /??b?m.?.n?.bl? ?sno?.mæn/ (humanoid or apelike animal said to exist in the Himalayas)
abominably,adv,abominablemente, /??b?m.?.n?.bli/ (in an abominable manner)
abominate,v,"abominar,detestar"," /??b?m.??n??t/ (to feel disgust towards, to hate in the highest degree)"
abomination,n,abominación{f}, /??b?m.??ne?.?n?/ (an abominable act)
abomination,n,"abominación{f},maldad{f}", (something abominable)
aboriginal,adj,"aborigen,indígena", /?æb.????d??.n?.l?/ (original; indigenous)
Aboriginal,n,"aborigen,aboriginal", /?æb.????d??.n?.l?/ (original inhabitant of Australia)
Aboriginal,n,aborigen, (original inhabitant of any land)
aborigine,n,"aborigen{m} {f},indígena{m} {f}", /?æb.????d?.?.ni/ (aboriginal inhabitant of a country)
abort,n,aborto{m}, /??b??t/ (miscarriage)
abort,v,abortar, (to miscarry)
aborted,adj,abortado,
abortifacient,adj,abortivo, /??b??.t??fe?.?n?t/ (producing miscarriage)
abortifacient,n,abortivo{m}, (agent that causes premature delivery)
abortion,n,aborto{m}, (act of inducing abortion)
abortion,n,"aborto{m},aborto involuntario", /??b??.?n?/ (miscarriage)
abortion,n,"aborto{m},aborto inducido", (induced abortion)
abortion,n,"aborto{m},engendro{m}", (something ugly)
abortion,n,aborto{m}," (the act of aborting a project, etc)"
abortional,adj,abortivo, /??b??.?n?.l?/ (pertaining to abortion)
abortive,adj,abortivo, (causing abortion)
abortive,adj,"fracasado,frustrado,malogrado", (coming to naught; fruitless)
abortive,adj,abortivo, /??b??.t?v/ (produced by abortion; born prematurely)
abortive,n,abortivo,
abound,v,"abundar,serabundante", /??ba?nd/ (to be plentiful)
abound,v,"abundar,serabundante", (to be copiously supplied)
about,adv,alrededor, (here and there)
about,adv,alrededor, (in circuit)
about,adv,alrededor de, (near; in the vicinity)
about,adv,alrededor," (nearly, approximately)"
about,adv,alrededor, (on all sides)
about,adv,estar por, (on the verge of; intending to)
about,prep,"sobre,acercade"," (concerned with, engaged in)"
about,prep,"sobre,acerca de,de", (concerning)
about,prep,"alrededorde,por", /??ba?t/ (on every side of)
about,prep,cercade, (in the immediate neighborhood of)
about,prep,cercade," (near, approximately, regarding time, size or quantity)"
about,prep,a puntode, (on the point or verge of)
about,prep,encimade, (over or upon different parts of)
about-face,n,media vuelta{f}, /??ba?t?fe?s/ (reversal of direction or attitude)
about-face,v,"dar la media vuelta,darse media vuelta", (to turn 180 degrees)
about time,adv,"es hora,al fin", (close to the right time)
about time,adv,ya era hora, (far past the desired time)
about to,phrase,a punto de, (indicating imminence)
above,adv,arriba, (earlier in order in writing)
above,adv,arriba, (in a higher place)
above,prep,"arriba,sobre,encima", /??b?v/ (in or to a higher place)
above,prep,sobre, (more)
above all,adv,sobre todo, (of prime importance)
aboveboard,adj,"legítimo,sincero",
above the curve,prep,adelantado de su época{m},
above the law,prep,por encima de la ley, (idiomatic)
abrade,v,"escoriar,raspar", /??b?e?d/ ((transitive) to rub or wear off; to waste or wear away by friction)
Abraham,prop,"Abraham,Abrahán", /?e?.b???hæm/ (prophet in the Old Testament)
Abraham,prop,"Abraham,Abrahán", (male given name)
Abram,prop,Abram, /?e?.b??m/ (Old Testament patriarch)
abrasion,n,abrasión{f},
abrasion,n,"rasguño{m},raspadura{f}", /??b?e?.?n?/ (medicine: superficial wound)
abrasion,n,erosión{f}, (geology: effect of mechanical erosion of rock)
abrasive,adj,abrasivo, /??b?e?.s?v/ (producing abrasion; rough)
abrasive,adj,"brusco,irritante", (rough and coarse in manner or disposition)
abrasively,adv,ásperamente, /?.?bre?.s?v.li/ (in an abrasive manner)
abrasively,adv,"ásperamente,desabridamente", (in a rough manner)
abreast,adv,al corriente, /??b??st/ (informed)
abreast,adv,de lado a lado, (side by side)
abridge,v,"abreviar,condensar,compendiar", /??br?d??/ (to make shorter)
abridge,v,privar, (to deprive)
abridge,v,"abreviar,resumir", (to shorten or contract by using fewer words)
abridged,adj,abreviado," /??b??d?d/ (cut or shortened, especially of a literary work)"
abridgment,n,"abreviación,compendio{m}", /??b??d??.mn?t/
abroad,adv,"por todas partes,en todas direciones", /??b??d/ (at large; widely; broadly; over a wide space)
abroad,adv,"en el extranjero,en el exterior", (in foreign countries)
abroad,adv,al exterior, (without a certain confine; outside the house)
abrogable,adj,abrogable, /?æb.??.??.bl?/ (capable of being abrogated)
abrogate,v,"abrogar,derogar", /?æb.?????t/ (to annul by an authoritative act)
abrupt,adj,abrupto, (botany: truncated)
abrupt,adj,"abrupto,brusco,cortante", (curt in manner)
abrupt,adj,"abrupto,brusco", /??b??pt/ (extremely steep)
abrupt,adj,"brusco,abrupto", (having sudden transitions from one state to next)
abrupt,adj,"repentino,súbito", (without notice)
abruptly,adv,abruptamente, /??b??p.li/ (in an abrupt manner)
abruptly,adv,precipitadamente, (precipitously)
Absalom,prop,Absalón, /?æb.s?.l?m/ (Biblical character)
Absalom,prop,Absalón, (male given name)
abscess,n,"absceso{m},flemón{m} (gums)", /?æb?s?s/ (cavity filled with pus)
abscissa,n,abscisa{f}, /æb?s?s.?/ (first of two coordinates)
abscission,n,abscisión{f}, /æb?s?.?n?/ (act of cutting off)
abscond,v,"fugarse,evadirse", /æb?sk?nd/ (to depart secretly)
abscond,v,"huir,fugarse", (to hide (something))
absence,n,ausencia{f}, /?æb.sn?s/ (state of being away)
absence,n,ausencia{f}, (inattention to things present)
absence,n,"ausencia{f},falta{f}", (lack; deficiency; non-existence)
absent,adj,ausente, /?æb.sn?t/ (being away from a place)
absent,adj,"ausente,distraído", (inattentive)
absent,adj,ausente, (not existing)
absent,v,ausentarse, /æb?s?nt/ (to withhold from being present)
absentee,n,ausente{m} {f}, /?æb.sn??ti/ (A person who is absent)
absent-minded,adj,distraído, /?æb.sn?t?ma?n.d?d/ (absent in mind)
absinthe,n,"ajenjo{m},absintio{m}", /?æb.s?n?/ (liquor)
absinthe,n,ajenjo{m}, (Artemisia absinthium)
absinthin,n,absintina{f}, /?æb?s?n.??n/ (principal compound found in wormwood)
absolute,adj,absoluto, /?æb.s??lut/ (loosed from any conditions or limitations)
absolute,adj,"completo,pleno"," (complete in itself, fixed)"
absolutely,adv,"totalmente,absolutamente", /?æb.s??lut.li/ (in an absolute manner)
absolute monarchy,n,monarquía absoluta{f}, (rule)
absolute superlative,n,superlativo absoluto{m}, (absolute superlative)
absolute value,n,valor absoluto{m}, /?æb.s??lut ?væl.ju/ (numerical value of a real number)
absolute value,n,valor absoluto{m}, (modulus of a complex number)
absolute zero,n,cero absoluto{m}, /?æb.s??lut ?zi.?o?/ (coldest possible temperature)
absolution,n,absolución{f}, (absolving from ecclesiastical penalties)
absolution,n,absolución{f}," (acquittal, or sentence of a judge declaring an accused person innocent)"
absolution,n,absolución{f}," /?æb.s??l(j)u.?n?/ (absolving or setting free from guilt, sin or penalty; forgiveness of an offense)"
absolution,n,absolución{f}," (exercise of priestly jurisdiction in the sacrament of penance, by which Catholics believe the sins of the truly penitent are forgiven)"
absolutist,adj,absolutista, /?æb.s??lu.t?st/ (of or pertaining to absolutism)
absolutive case,n,caso absolutivo{m}, (case used to indicate the patient or experiencer of a verb’s action)
absolve,v,"absolver,exculpar", /æb?z?lv/ (to set free)
absolve,v,"absolver,exonerar", (theology: to pronounce free or give absolution from sin)
absolve,v,absolver, (to pronounce free or give absolution)
absorb,v,absorber,
absorb,v,absorber, /æb?s?rb/ (to suck up or drink in)
absorbed,adj,"absorto,ensimismado", /æb?s??bd/ (fully occupied with one's thoughts; engrossed)
absorbency,n,absorbencia{f}, /æb.s??.bn?.si/ (absorbency)
absorbent,adj,absorbente, /æb?s?r.bn?t/ (absorbing)
absorbent,n,absorbente{m}, (anything which absorbs)
absorbing,adj,absorbente, /æb?z?r.b??/ (engrossing)
absorption,n,absorción{f}, /æb?s??p.?n?/ (act or process of absorbing or sucking in anything)
absorption,n,concentración{f}, (entire occupation of the mind)
abstain,v,abstenerse, /?b?ste?n/ (refrain from)
abstain,v,retener," (hinder, withhold)"
abstain,v,abstenerse, (refrain from voting)
abstainer,n,abstemio{m}, /æb?ste?.n?/ (one who abstains)
abstemious,adj,"sobrio,abstemio", /æb?sti.mi.?s/ (abstaining from wine)
abstemious,adj,abstemio," (marked by, or spent in, abstinence)"
abstemious,adj,sobrio{m}, (sparing in diet)
abstemious,adj,abstemio, (sparingly used; used with temperance or moderation)
abstention,n,abstención{f}, /æb?st?n.?n?/ (the act of abstaining)
abstergent,n,abstergente, /æb?st?.d??n?t/ (a substance used in cleansing)
abstersion,n,abstersión{f}, /æb?st?.?n?/ (the act of cleaning)
abstersive,adj,abstersivo," /æb?st?.s?v/ (cleansing, purging)"
abstinence,n,"vigilia{f},abstinencia{f}", /?æb.st?.nn?s/ (the act or practice of abstaining)
abstinence,n,abstinencia del alcohol," (specifically, abstinence from alcohol)"
abstinence,n,vigilia{f}, (the practice of self-denial)
abstinent,adj,abstinente, /?æb.st?.nn?t/ (refraining from indulgence)
abstract,adj,abstracto,
abstract,n,"resumen{m},extracto{m}", /?æb.strækt/ (an abridgement or summary)
abstract,n,abstracción{f}, (an abstraction)
abstract,n,arte abstracto{m}, (an abstract work of art)
abstract,n,extracto{m}, (an extract of a vegetable substance)
abstract,v,"abstraer,extraer",
abstraction,n,abstracción{f}, /æb?st?æk.?n?/ (act of abstracting)
abstractionism,n,abstraccionismo{m}, /æb?st?æk.?n???z.m?/ (abstract art)
abstractionist,n,abstraccionista{m} {f}, /æb?st?æk.??n.?st/ (someone who paints or creates abstract art)
abstract noun,n,sustantivo abstracto{m}, /?æb?strækt na?n/ (a noun that denotes an abstract concept)
abstract of title,n,resumen de título{m}, /?ta?.tl?/ (epitome of the evidences of ownership)
abstruse,adj,abstruso{m}, /æb?strus/ (difficult to comprehend)
absurd,adj,absurdo, /æb?s?d/ (contrary to reason or propriety)
absurd,n,absurdo{m}, (obsolete: an absurdity)
absurd,n,absurdo, (that which is absurd)
absurdism,n,"absurdismo,filosofía del absurdo", /æb?s?d??z.m?/ (philosophy which holds that the universe is chaotic and irrational)
absurdity,n,absurdo{m}, /æb?s?d.?.ti/ (the quality of being absurd)
Abu Dhabi,prop,Abu Dabi, /??.bu ?d?.bi/ (capital of UAE)
Abuja,prop,Abuya, /??bu?d???/ (The capital city of Nigeria)
abulia,n,abulia{f}, /??b(j)u.li.?/ (absence of will-power or decisiveness)
abulic,adj,abúlico, /?e??bju.l?k/ (relating to abulia)
abundance,n,abundancia, /??b?n.dn?s/ (ample sufficiency)
abundant,adj,"abundante,copioso,cuantioso", /??b?n.dn?t/ (fully sufficient; plentiful)
abundantly,adv,abundantemente, /??b?n.dn?t.li/ (in an abundant manner)
abundant number,n,número abundante{m}, /??b?n.dn?t ?n?m.b?/ (abundant number)
Abundius,prop,Abundio{m}, (male given name)
abuse,n,abuso{m}, /??bjus/ (improper usage)
abuse,n,abuso{m}, (physical maltreatment)
abuse,n,abuso sexual{m}, (sexual violation or assault)
abuse,v,abusar, /??bjuz/ (to hurt)
abuse,v,engañar, (to deceive)
abuse,v,violar, (to rape)
abuse of discretion,n,abuso de discreción{m},
abuser,n,abusador{m}, /??bju.z?/ (one who abuses)
abusive,adj,abusivo, /??bju.s?v/ (practicing abuse)
abut,v,bordear, /??b?t/ (to border on)
abutment,n,estribo{m}, /??b?t.mn?t/ (state of abutting)
abysmal,adj,"abismal,insondable"," /??b?z.ml?/ (pertaining to, or resembling an abyss; bottomless; unending; profound)"
abysmal,adj,"atroz,desastroso", (extremely bad)
abyss,n,"abismo{m},sima{f}", (bottomless or unfathomed depth)
abyss,n,abismo{m}," /??b?s/ (hell, bottomless pit)"
abyssal,adj,abisal, /??b?s.l?/ (belonging to the ocean depths)
Abyssinia,prop,Abisinia{f}, /?æb.??s?n.i.?/ (historical name of Ethiopia)
Abyssinian,adj,abisinio, /?æb.??s?n.i.?n/ (of or pertaining to Abyssinia)
Abyssinian,n,"abisinio{m},abisinia{f}", (a native of Abyssinia)
abzyme,n,abzima{f}, (antibody with catalytic properties)
AC,initialism,"CA,corriente alterna", (alternating current)
acacia,n,acacia{f}, /??ke?.??/ (shrub or tree)
academic,adj,académico, /?æk.??d?m.?k/ (belonging to an academy or other higher institution of learning)
academic,n,"académico{m},escolar{m}",
academic,n,"académico{m},escolar{m}"," (senior member of an academy, college, or university)"
academically,adv,académicamente, /?æk.??d?m.?k.?.li/ (in an academic style or way)
academician,n,académico{m},
academician,n,"académico{m},académica{f},academista{m} {f}", /?æ.k?.d??m?.?n?/ (member of an academy)
academy,n,academia{f},
academy,n,academia{f}, /??kæd.?.mi/ (learned society)
academy,n,cantera{f}, (specialized school)
Acadian,adj,acadio, /??ke?.di.n?/ (Of or pertaining to Acadia)
acalycine,adj,acalicino, /?ei?ke?.l?.sa?n/ (without a calyx)
acanthaceous,adj,acantáceo, /?æk.n???e?.??s/ (armed with prickles)
acanthaceous,adj,acantáceo, (pertaining to the acanthus family)
acanthocyte,n,acantocito{m}, /??kæn.?o??sa?t/ (spiny cell)
acanthus,n,acanto{m}, /??kæn.??s/ (plant)
acanthus,n,acanto{m}, (ornament)
a cappella,adv,a cappella, /?? k?.?p?l.?/ (performed by a choir with no instrumental accompaniment)
acarbose,n,acarbosa{f}, /?æ.k?r.bo?s/ (antidiabetic drug)
acarophobia,n,acarofobia{f}, /?æk?r??f??bi?/
acarpous,adj,acarpo, /e?.?k??.p?s/ (not producing fruit)
acaulescent,adj,acaule, /?æk.?.?l?s.?nt/ (having no stem)
accede,v,"subir,acceder", /æk.?sid/ (to enter upon an office or dignity)
accede,v,"acceder,consentir", (to agree to a proposal or view)
accelerate,v,acelerar, /?k.?s?l.?.?re?t/ (to cause to move faster)
accelerate,v,acelerarse, (to become faster)
accelerate,v,"acelerar,apresurar", (to hasten)
accelerate,v,acelerar, (to quicken natural or ordinary progression or process)
acceleration,n,aceleración, /?k.?s?l.?.??e?.??n/ (act or state)
acceleration,n,aceleración{f}, ((physics))
accelerator,n,"acelerador{m}, [colloquial, Chile]chala{f},chancla{f} [Costa Rica],chancleta{f} [Colombia],chola{f} [Venezuela]", (accelerator pedal)
accelerator,n,acelerador{m}, (a device for causing acceleration)
accelerator,n,acelerador{m}," /æk.?s?l.?.??e?.t?/ (one who, or that which, accelerates)"
accelerometer,n,acelerómetro{m}, /æk.?s?l.?.?r?m.?.t?/ (instrument for measuring acceleration)
accent,n,acento{m}, /?æk.s?nt/ (stronger articulation)
accent,n,acento{m}," (distinctive pronunciation associated with a region, social group, etc.)"
accent,n,acento{m}, (music: expressive emphasis of a passage)
accent,n,acento{m}, (music: recurring stress on a tone)
accent,n,"acento{m},tilde{f}", (orthography: mark to indicate accent)
accent,n,acento{m}, (prosody: stress on syllables of a verse)
accent,v,acentuar, (to emphasize)
accentor,n,acentor{m}, /?k.?s?n.t?/ (bird of the Prunella genus)
accentuate,v,acentuar, /?k?sen.t?u.e?t/ (to pronounce with an accent)
accentuate,v,acentuar, (to bring out distinctly)
accentuate,v,acentuar, (to mark with a written accent)
accentuation,n,acentuación, /?æk.?s?n.t??.?we?.??n/
accept,v,aceptar, /?k?s?pt/ (to receive with consent)
accept,v,aceptar, (to agree to)
accept,v,aceptar, (to receive officially)
acceptability,n,aceptabilidad{f}, /?æk.?s?p.t?.?b?l.?t.i/ (acceptableness)
acceptable,adj,aceptable," /æk.?s?p.t?.b?l/ (capable, worthy or sure of being accepted)"
acceptance,n,aceptación{f}, ((commerce) An assent and engagement by the person on whom a bill of exchange is drawn)
acceptance,n,aceptación{f}, /?k.?s?p.t?ns/ (receiving of something offered)
acceptor,n,aceptador{m}, /?k.?s?p.t?/ (one who accepts)
accept service,v,"recibir la notificación,darse por notificado", (receive and acknowledge receipt of service of process)
access,n,acceso{m}, /?æk.s?s/ (way or means of approaching)
access,n,acceso{m}, (communication with a computer program or the Internet)
access,n,acceso{m}, (computing: process of locating data in memory)
access,v,acceder, (computing: to have access to (data))
access,v,acceder, (to gain or obtain access to)
access code,n,código de acceso{m}, (alphanumeric sequence)
accessibility,n,accesibilidad{f}," /æk.?s?s.?.?b?l.?t.i/ (the quality of being accessible, or of admitting approach)"
accessible,adj,"accesible,asequible", /?k.?s?s.?.b?l/ (easy of access or approach)
accessible,adj,accesible," (of a person, approachable)"
accession,n,ascenso{f}, /æk.?s?.??n/ (a coming to)
accessory,adj,cómplice, (assisting a crime)
accessory,adj,"accesorio,auxiliar", /?k?s?s??i/ (having a supplementary function)
accessory,n,accesorio{m},
accessory,n,cómplice{m} {f}, (contributor to an offense)
accessory,n,"accesorio{m},complemento{m}"," (that which belongs to something else deemed the principal, attachment)"
accessory after the fact,n,"cómplice encubridor{m},encubridor{m}", (person who assists or protects someone wanted by the police in connection with a crime)
accessory before the fact,n,"cómplice instigador{m},instigador{m},inductor{m}", (one who commands or counsels an offense)
accessory fruit,n,infrutescencia{f}, (A fruit with tissue not derived from ovary)
accident,n,accidente{m}, /?æk.s?.d?nt/ (unexpected event with negative consequences)
accident,n,accidente, (transport: unintended event that causes damage)
